orderId,actualBoxId,actualUtilization,algorithmBoxId,algorithmUtilization,status
"TSHE2026030600097010","LRLC0003W",0.4190144928,"LOREAL02L",0.4713913043,"OK"
"TSHE2026031000086761","LRLC0003W",0.1083933851,"LOREAL01G",0.1817847396,"OK"
"TSHE2026030900089152","LOREAL03H",0.1315099559,"LOREAL17H",0.2076472988,"OK"
"TSHD2026022800074370","LOREAL03H",0.1535578526,"LOREAL02L",0.3719724379,"OK"
"TSHD2026022500046037","LOREAL04H",0.4566453333,"C0000006H",0.6597194768,"OK"
"TSHE2026030500235147","C0000011W",0.4994350890,"C0000011W",0.4994350890,"OK"
"TSHD2026022500047589","LOREAL04H",0.3099200412,"LOREAL03G",0.4827600641,"OK"
"TSHD2026030800125742","LRLC0003W",0.1286200828,"C0000001H",0.3897945098,"OK"
"TSHD2026022600081545","C0000009W",0.3736292341,"LOREAL04G",0.7872237654,"OK"
"TSHE2026030600013212","LRLC0003W",0.1924495342,"C0000001H",0.5832352941,"OK"
"TSHD2026030700017645","LOREAL03H",0.2290310897,"LRLC0003W",0.4931518288,"OK"
"TSHE2026030400052516","C0000009W",0.2932024777,"LRLF0005L",0.5450888775,"OK"
"TSHD2026030900015161","C0000011W",0.3406734878,"C0000011W",0.3406734878,"OK"
"TSHD2026030400039860","C0000009W",0.3146586466,"LOREAL18H",0.4103617028,"OK"
"TSHD2026030800051764","LRLC0003W",0.1978047360,"C0000001H",0.5994647059,"OK"
"TSHD2026030500027207","C0000011W",0.4994350890,"C0000011W",0.4994350890,"OK"
"TSHD2026030500022629","LRLC0003W",0.2459862664,"LOREAL01G",0.4125394676,"OK"
"TSHD2026030500041465","LOREAL03H",0.1503527244,"LOREAL02L",0.3642084627,"OK"
"TSHD2026031000054958","LOREAL04H",0.2283719547,"C0000006H",0.3299309453,"OK"
"TSHE2026030400113381","LOREAL03H",0.5689354968,"LOREAL03G",0.5689354968,"OK"
"TSHD2026031000041558","LOREAL04H",0.2435719547,"C0000006H",0.3518905172,"OK"
"TSHE2026030700025239","LOREAL03H",0.1825193710,"LOREAL03G",0.1825193710,"OK"
"TSHE2026030900113213","LOREAL01H",0.0694444444,"LOREAL01G",0.0694444444,"OK"
"TSHE2026030800095297","LRLC0003W",0.2831684351,"LOREAL17H",0.2076472988,"OK"
"TSHE2026030400154840","LRLC0003W",0.1924495342,"C0000001H",0.5832352941,"OK"
"TSHD2026030200000495","LOREAL03H",0.4827600641,"LOREAL03G",0.4827600641,"OK"
"TSHD2026030300030261","LOREAL01H",0.2896412037,"C0000001H",0.5233986928,"OK"
"TSHD2026030800077931","C0000011W",0.5320507956,"LRLF0005L",0.4582620733,"OK"
"TSHE2026030500050061","LRLC0003W",0.2374267598,"LOREAL17H",0.1741049469,"OK"
"TSHE2026030500147318","LOREAL04H",0.3810772634,"C0000006H",0.5505456302,"OK"
"TSHE2026030300092155","LOREAL04H",0.1239040000,"LOREAL03G",0.1930043077,"OK"
"TSHD2026022700017695","C0000009W",0.3288168123,"C0000007H",0.8175887816,"OK"
"TSHE2026030400153818","LRLC0003W",0.1924495342,"C0000001H",0.5832352941,"OK"
"TSHD2026022700045776","LOREAL04H",0.4802885802,"C0000007H",0.5667947551,"OK"
"TSHD2026022600112146","LOREAL03H",0.1983844151,"LOREAL17H",0.3132385501,"OK"
"TSHD2026030300063036","LRLC0003W",0.1243478261,"LOREAL01G",0.2085416667,"OK"
"TSHE2026030500290086","LOREAL04H",0.5408055556,"C0000007H",0.6382116190,"OK"
